pattern_id,timetable_services,osm_route_relation_id,route_start_stop_sequence,route_end_stop_sequence,station_keys_json,station_order_conflicts_json,mapped_stop_node_ids_json,mapped_stop_chain_status_json,status,route_start_node_index_zero_based,route_end_node_index_zero_based,length_geodesic_m,segment_traversals,direction_status_counts_json,shortest_candidate_boarding_differences,schedule_export_eligible
09d1be51dc2b65b61b53fb2419a4d250ef3c14eb265f9f405a34bc4aed307e9a,1,9622461,13,25,"[""CR_HB_LABEL:chembur"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:mumbai csmt""]",[],"[1367093081,6171366460,1367093210,7818099445,7818093995,7510862064,619290284,4264980597,7510862062,619290482,2178163625,2176850501,2166817452]","[{""node_id"":1367093081,""node_index"":352,""status"":""present_in_order""},{""node_id"":6171366460,""node_index"":363,""status"":""present_in_order""},{""node_id"":1367093210,""node_index"":383,""status"":""present_in_order""},{""node_id"":7818099445,""node_index"":414,""status"":""present_in_order""},{""node_id"":7818093995,""node_index"":430,""status"":""present_in_order""},{""node_id"":7510862064,""node_index"":476,""status"":""present_in_order""},{""node_id"":619290284,""node_index"":510,""status"":""present_in_order""},{""node_id"":4264980597,""node_index"":523,""status"":""present_in_order""},{""node_id"":7510862062,""node_index"":534,""status"":""present_in_order""},{""node_id"":619290482,""node_index"":555,""status"":""present_in_order""},{""node_id"":2178163625,""node_index"":569,""status"":""present_in_order""},{""node_id"":2176850501,""node_index"":587,""status"":""present_in_order""},{""node_id"":2166817452,""node_index"":620,""status"":""present_in_order""}]",contiguous_mapped_route_geometry_evidence,352,620,17989.163874583715,268,"{""explicit_oneway"":209,""missing_direction_unresolved"":59}",1,False
0fc170e71b93b36996d82eadcbafdc00dd0d3e0618189736fc63341ec112a5cf,60,8414240,1,9,"[""CR_THB_CODE:TNA"",""CR_THB_CODE:DIGH"",""CR_THB_CODE:AIRL"",""CR_THB_CODE:RABE"",""CR_THB_CODE:GNSL"",""CR_THB_CODE:KPHN"",""CR_THB_CODE:TUH"",""CR_THB_CODE:SNPD"",""CR_THB_CODE:VSH""]",[],"[1647133382,13032197037,7818210885,7818144558,7818209607,7818118169,7818206408,1990672673,4822210993]","[{""node_id"":1647133382,""node_index"":1,""status"":""present_in_order""},{""node_id"":13032197037,""node_index"":47,""status"":""present_in_order""},{""node_id"":7818210885,""node_index"":73,""status"":""present_in_order""},{""node_id"":7818144558,""node_index"":101,""status"":""present_in_order""},{""node_id"":7818209607,""node_index"":124,""status"":""present_in_order""},{""node_id"":7818118169,""node_index"":139,""status"":""present_in_order""},{""node_id"":7818206408,""node_index"":170,""status"":""present_in_order""},{""node_id"":1990672673,""node_index"":216,""status"":""present_in_order""},{""node_id"":4822210993,""node_index"":228,""status"":""present_in_order""}]",contiguous_mapped_route_geometry_evidence,1,228,18539.495688147832,227,"{""missing_direction_unresolved"":227}",3,False
180c40af9af92646aa3fb71cbb6c98457a41dec550c8177c080cefb30dcdb2a3,99,9622461,1,25,"[""CR_THB_CODE:PNVL"",""CR_THB_CODE:KNDS"",""CR_THB_CODE:MANR"",""CR_THB_CODE:KHAG"",""CR_THB_CODE:BEPR"",""CR_THB_CODE:SWDV"",""CR_THB_CODE:NEU"",""CR_HB_LABEL:juinagar"",""CR_HB_LABEL:sanpada"",""CR_HB_LABEL:vashi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:mumbai csmt""]",[],"[7510862054,7818098638,7818067424,7818064488,7818124494,7818030805,7818050098,7817978923,4822210969,4819972201,1366794765,3878560519,1367093081,6171366460,1367093210,7818099445,7818093995,7510862064,619290284,4264980597,7510862062,619290482,2178163625,2176850501,2166817452]","[{""node_id"":7510862054,""node_index"":0,""status"":""present_in_order""},{""node_id"":7818098638,""node_index"":39,""status"":""present_in_order""},{""node_id"":7818067424,""node_index"":58,""status"":""present_in_order""},{""node_id"":7818064488,""node_index"":89,""status"":""present_in_order""},{""node_id"":7818124494,""node_index"":122,""status"":""present_in_order""},{""node_id"":7818030805,""node_index"":159,""status"":""present_in_order""},{""node_id"":7818050098,""node_index"":190,""status"":""present_in_order""},{""node_id"":7817978923,""node_index"":220,""status"":""present_in_order""},{""node_id"":4822210969,""node_index"":252,""status"":""present_in_order""},{""node_id"":4819972201,""node_index"":264,""status"":""present_in_order""},{""node_id"":1366794765,""node_index"":314,""status"":""present_in_order""},{""node_id"":3878560519,""node_index"":342,""status"":""present_in_order""},{""node_id"":1367093081,""node_index"":352,""status"":""present_in_order""},{""node_id"":6171366460,""node_index"":363,""status"":""present_in_order""},{""node_id"":1367093210,""node_index"":383,""status"":""present_in_order""},{""node_id"":7818099445,""node_index"":414,""status"":""present_in_order""},{""node_id"":7818093995,""node_index"":430,""status"":""present_in_order""},{""node_id"":7510862064,""node_index"":476,""status"":""present_in_order""},{""node_id"":619290284,""node_index"":510,""status"":""present_in_order""},{""node_id"":4264980597,""node_index"":523,""status"":""present_in_order""},{""node_id"":7510862062,""node_index"":534,""status"":""present_in_order""},{""node_id"":619290482,""node_index"":555,""status"":""present_in_order""},{""node_id"":2178163625,""node_index"":569,""status"":""present_in_order""},{""node_id"":2176850501,""node_index"":587,""status"":""present_in_order""},{""node_id"":2166817452,""node_index"":620,""status"":""present_in_order""}]",contiguous_mapped_route_geometry_evidence,0,620,48971.03743821936,620,"{""explicit_oneway"":505,""missing_direction_unresolved"":102,""nonstatic_or_unknown_direction_unresolved"":13}",3,False
1e882f814a854be1e1d8a82277a05c0403326965c891314153f605a1e0cae85b,26,8130328,8,25,"[""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:vashi"",""CR_HB_LABEL:sanpada"",""CR_HB_LABEL:juinagar"",""CR_THB_CODE:NEU"",""CR_THB_CODE:SWDV"",""CR_THB_CODE:BEPR"",""CR_THB_CODE:KHAG"",""CR_THB_CODE:MANR"",""CR_THB_CODE:KNDS"",""CR_THB_CODE:PNVL""]","[{""mapped_station_keys"":[""CR_HB_LABEL:chembur""],""pattern_stop_sequence"":5,""route_stop_node_id"":""651265045"",""timetable_station_key"":""CR_HB_LABEL:tilaknagar""},{""mapped_station_keys"":[""CR_HB_LABEL:tilaknagar""],""pattern_stop_sequence"":6,""route_stop_node_id"":""7818024713"",""timetable_station_key"":""CR_HB_LABEL:chembur""}]","[7510862066,7818093994,7818099446,1367093212,651265045,7818024713,1366986900,246631903,241160689,7818022403,7817978922,7818050099,7818030804,7818124497,7818064487,7818067423,7818098639,7510862053]","[{""node_id"":7510862066,""node_index"":154,""status"":""present_in_order""},{""node_id"":7818093994,""node_index"":197,""status"":""present_in_order""},{""node_id"":7818099446,""node_index"":217,""status"":""present_in_order""},{""node_id"":1367093212,""node_index"":247,""status"":""present_in_order""},{""node_id"":651265045,""node_index"":280,""status"":""present_in_order""},{""node_id"":7818024713,""node_index"":null,""status"":""out_of_order""},{""node_id"":1366986900,""node_index"":293,""status"":""present_in_order""},{""node_id"":246631903,""node_index"":312,""status"":""present_in_order""},{""node_id"":241160689,""node_index"":371,""status"":""present_in_order""},{""node_id"":7818022403,""node_index"":384,""status"":""present_in_order""},{""node_id"":7817978922,""node_index"":417,""status"":""present_in_order""},{""node_id"":7818050099,""node_index"":445,""status"":""present_in_order""},{""node_id"":7818030804,""node_index"":473,""status"":""present_in_order""},{""node_id"":7818124497,""node_index"":507,""status"":""present_in_order""},{""node_id"":7818064487,""node_index"":538,""status"":""present_in_order""},{""node_id"":7818067423,""node_index"":569,""status"":""present_in_order""},{""node_id"":7818098639,""node_index"":582,""status"":""present_in_order""},{""node_id"":7510862053,""node_index"":618,""status"":""present_in_order""}]",station_order_conflict,,,,,{},4,False
3f9f069f061e81ec9a9eefbce77d0de3283c79bbf368223ecfe71efea6f224c6,36,8130328,1,16,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:vashi""]","[{""mapped_station_keys"":[""CR_HB_LABEL:chembur""],""pattern_stop_sequence"":12,""route_stop_node_id"":""651265045"",""timetable_station_key"":""CR_HB_LABEL:tilaknagar""},{""mapped_station_keys"":[""CR_HB_LABEL:tilaknagar""],""pattern_stop_sequence"":13,""route_stop_node_id"":""7818024713"",""timetable_station_key"":""CR_HB_LABEL:chembur""}]","[316306549,621906366,2178163626,5389227991,7510862063,5389227965,5389227951,7510862066,7818093994,7818099446,1367093212,651265045,7818024713,1366986900,246631903,241160689]","[{""node_id"":316306549,""node_index"":0,""status"":""present_in_order""},{""node_id"":621906366,""node_index"":44,""status"":""present_in_order""},{""node_id"":2178163626,""node_index"":62,""status"":""present_in_order""},{""node_id"":5389227991,""node_index"":74,""status"":""present_in_order""},{""node_id"":7510862063,""node_index"":97,""status"":""present_in_order""},{""node_id"":5389227965,""node_index"":109,""status"":""present_in_order""},{""node_id"":5389227951,""node_index"":123,""status"":""present_in_order""},{""node_id"":7510862066,""node_index"":154,""status"":""present_in_order""},{""node_id"":7818093994,""node_index"":197,""status"":""present_in_order""},{""node_id"":7818099446,""node_index"":217,""status"":""present_in_order""},{""node_id"":1367093212,""node_index"":247,""status"":""present_in_order""},{""node_id"":651265045,""node_index"":280,""status"":""present_in_order""},{""node_id"":7818024713,""node_index"":null,""status"":""out_of_order""},{""node_id"":1366986900,""node_index"":293,""status"":""present_in_order""},{""node_id"":246631903,""node_index"":312,""status"":""present_in_order""},{""node_id"":241160689,""node_index"":371,""status"":""present_in_order""}]",station_order_conflict,,,,,{},4,False
3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,47,11093105,1,18,"[""CR_HB_LABEL:goregaon"",""CR_HB_LABEL:ramnagar"",""CR_HB_LABEL:jogeshwari"",""CR_HB_LABEL:andheri"",""CR_HB_LABEL:vileparle"",""CR_HB_LABEL:santacruz"",""CR_HB_LABEL:khar road"",""CR_HB_LABEL:bandra"",""CR_HB_LABEL:mahim jn"",""CR_HB_LABEL:king's circle"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:mumbai csmt""]",[],"[7817951294,7817991346,10879528557,7510862071,3347771408,7510862080,7510862789,1233481362,619252274,2444154310,7510862065,619290284,4264980597,7510862062,619290482,2178163625,2176850501,2166817452]","[{""node_id"":7817951294,""node_index"":0,""status"":""present_in_order""},{""node_id"":7817991346,""node_index"":11,""status"":""present_in_order""},{""node_id"":10879528557,""node_index"":22,""status"":""present_in_order""},{""node_id"":7510862071,""node_index"":34,""status"":""present_in_order""},{""node_id"":3347771408,""node_index"":50,""status"":""present_in_order""},{""node_id"":7510862080,""node_index"":59,""status"":""present_in_order""},{""node_id"":7510862789,""node_index"":77,""status"":""present_in_order""},{""node_id"":1233481362,""node_index"":108,""status"":""present_in_order""},{""node_id"":619252274,""node_index"":130,""status"":""present_in_order""},{""node_id"":2444154310,""node_index"":155,""status"":""present_in_order""},{""node_id"":7510862065,""node_index"":192,""status"":""present_in_order""},{""node_id"":619290284,""node_index"":224,""status"":""present_in_order""},{""node_id"":4264980597,""node_index"":237,""status"":""present_in_order""},{""node_id"":7510862062,""node_index"":248,""status"":""present_in_order""},{""node_id"":619290482,""node_index"":269,""status"":""present_in_order""},{""node_id"":2178163625,""node_index"":283,""status"":""present_in_order""},{""node_id"":2176850501,""node_index"":301,""status"":""present_in_order""},{""node_id"":2166817452,""node_index"":334,""status"":""present_in_order""}]",contiguous_mapped_route_geometry_evidence,0,334,26796.503819537047,334,"{""explicit_oneway"":78,""missing_direction_unresolved"":256}",1,False
470eb44d58502252177f712d35761f05b9388d67ef4f9e830f28f84748886729,5,9622461,5,18,"[""CR_THB_CODE:BEPR"",""CR_THB_CODE:SWDV"",""CR_THB_CODE:NEU"",""CR_HB_LABEL:juinagar"",""CR_HB_LABEL:sanpada"",""CR_HB_LABEL:vashi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:vadala road""]",[],"[7818124494,7818030805,7818050098,7817978923,4822210969,4819972201,1366794765,3878560519,1367093081,6171366460,1367093210,7818099445,7818093995,7510862064]","[{""node_id"":7818124494,""node_index"":122,""status"":""present_in_order""},{""node_id"":7818030805,""node_index"":159,""status"":""present_in_order""},{""node_id"":7818050098,""node_index"":190,""status"":""present_in_order""},{""node_id"":7817978923,""node_index"":220,""status"":""present_in_order""},{""node_id"":4822210969,""node_index"":252,""status"":""present_in_order""},{""node_id"":4819972201,""node_index"":264,""status"":""present_in_order""},{""node_id"":1366794765,""node_index"":314,""status"":""present_in_order""},{""node_id"":3878560519,""node_index"":342,""status"":""present_in_order""},{""node_id"":1367093081,""node_index"":352,""status"":""present_in_order""},{""node_id"":6171366460,""node_index"":363,""status"":""present_in_order""},{""node_id"":1367093210,""node_index"":383,""status"":""present_in_order""},{""node_id"":7818099445,""node_index"":414,""status"":""present_in_order""},{""node_id"":7818093995,""node_index"":430,""status"":""present_in_order""},{""node_id"":7510862064,""node_index"":476,""status"":""present_in_order""}]",contiguous_mapped_route_geometry_evidence,122,476,29097.137446743083,354,"{""explicit_oneway"":351,""nonstatic_or_unknown_direction_unresolved"":3}",2,False
518d2f4e6e938b4680d469903e652c951b6e892fb47cece8baf5c5430fc72920,30,8130328,1,21,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:vashi"",""CR_HB_LABEL:sanpada"",""CR_HB_LABEL:juinagar"",""CR_THB_CODE:NEU"",""CR_THB_CODE:SWDV"",""CR_THB_CODE:BEPR""]","[{""mapped_station_keys"":[""CR_HB_LABEL:chembur""],""pattern_stop_sequence"":12,""route_stop_node_id"":""651265045"",""timetable_station_key"":""CR_HB_LABEL:tilaknagar""},{""mapped_station_keys"":[""CR_HB_LABEL:tilaknagar""],""pattern_stop_sequence"":13,""route_stop_node_id"":""7818024713"",""timetable_station_key"":""CR_HB_LABEL:chembur""}]","[316306549,621906366,2178163626,5389227991,7510862063,5389227965,5389227951,7510862066,7818093994,7818099446,1367093212,651265045,7818024713,1366986900,246631903,241160689,7818022403,7817978922,7818050099,7818030804,7818124497]","[{""node_id"":316306549,""node_index"":0,""status"":""present_in_order""},{""node_id"":621906366,""node_index"":44,""status"":""present_in_order""},{""node_id"":2178163626,""node_index"":62,""status"":""present_in_order""},{""node_id"":5389227991,""node_index"":74,""status"":""present_in_order""},{""node_id"":7510862063,""node_index"":97,""status"":""present_in_order""},{""node_id"":5389227965,""node_index"":109,""status"":""present_in_order""},{""node_id"":5389227951,""node_index"":123,""status"":""present_in_order""},{""node_id"":7510862066,""node_index"":154,""status"":""present_in_order""},{""node_id"":7818093994,""node_index"":197,""status"":""present_in_order""},{""node_id"":7818099446,""node_index"":217,""status"":""present_in_order""},{""node_id"":1367093212,""node_index"":247,""status"":""present_in_order""},{""node_id"":651265045,""node_index"":280,""status"":""present_in_order""},{""node_id"":7818024713,""node_index"":null,""status"":""out_of_order""},{""node_id"":1366986900,""node_index"":293,""status"":""present_in_order""},{""node_id"":246631903,""node_index"":312,""status"":""present_in_order""},{""node_id"":241160689,""node_index"":371,""status"":""present_in_order""},{""node_id"":7818022403,""node_index"":384,""status"":""present_in_order""},{""node_id"":7817978922,""node_index"":417,""status"":""present_in_order""},{""node_id"":7818050099,""node_index"":445,""status"":""present_in_order""},{""node_id"":7818030804,""node_index"":473,""status"":""present_in_order""},{""node_id"":7818124497,""node_index"":507,""status"":""present_in_order""}]",station_order_conflict,,,,,{},4,False
60cc93038aa56f068d7bc5fa9ff953b4a5c2677bac6f738c4d5bb7fc5e3eb32e,7,8130328,8,21,"[""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:vashi"",""CR_HB_LABEL:sanpada"",""CR_HB_LABEL:juinagar"",""CR_THB_CODE:NEU"",""CR_THB_CODE:SWDV"",""CR_THB_CODE:BEPR""]","[{""mapped_station_keys"":[""CR_HB_LABEL:chembur""],""pattern_stop_sequence"":5,""route_stop_node_id"":""651265045"",""timetable_station_key"":""CR_HB_LABEL:tilaknagar""},{""mapped_station_keys"":[""CR_HB_LABEL:tilaknagar""],""pattern_stop_sequence"":6,""route_stop_node_id"":""7818024713"",""timetable_station_key"":""CR_HB_LABEL:chembur""}]","[7510862066,7818093994,7818099446,1367093212,651265045,7818024713,1366986900,246631903,241160689,7818022403,7817978922,7818050099,7818030804,7818124497]","[{""node_id"":7510862066,""node_index"":154,""status"":""present_in_order""},{""node_id"":7818093994,""node_index"":197,""status"":""present_in_order""},{""node_id"":7818099446,""node_index"":217,""status"":""present_in_order""},{""node_id"":1367093212,""node_index"":247,""status"":""present_in_order""},{""node_id"":651265045,""node_index"":280,""status"":""present_in_order""},{""node_id"":7818024713,""node_index"":null,""status"":""out_of_order""},{""node_id"":1366986900,""node_index"":293,""status"":""present_in_order""},{""node_id"":246631903,""node_index"":312,""status"":""present_in_order""},{""node_id"":241160689,""node_index"":371,""status"":""present_in_order""},{""node_id"":7818022403,""node_index"":384,""status"":""present_in_order""},{""node_id"":7817978922,""node_index"":417,""status"":""present_in_order""},{""node_id"":7818050099,""node_index"":445,""status"":""present_in_order""},{""node_id"":7818030804,""node_index"":473,""status"":""present_in_order""},{""node_id"":7818124497,""node_index"":507,""status"":""present_in_order""}]",station_order_conflict,,,,,{},3,False
69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,45,9623798,1,18,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:king's circle"",""CR_HB_LABEL:mahim jn"",""CR_HB_LABEL:bandra"",""CR_HB_LABEL:khar road"",""CR_HB_LABEL:santacruz"",""CR_HB_LABEL:vileparle"",""CR_HB_LABEL:andheri"",""CR_HB_LABEL:jogeshwari"",""CR_HB_LABEL:ramnagar"",""CR_HB_LABEL:goregaon""]",[],"[316306549,621906366,2178163626,5389227991,7510862063,5389227965,5389227951,7510862067,2444154308,1365560232,1233481375,4345706693,7510862785,7510862079,7510862070,10879528558,7817991347,9156468960]","[{""node_id"":316306549,""node_index"":0,""status"":""present_in_order""},{""node_id"":621906366,""node_index"":44,""status"":""present_in_order""},{""node_id"":2178163626,""node_index"":62,""status"":""present_in_order""},{""node_id"":5389227991,""node_index"":74,""status"":""present_in_order""},{""node_id"":7510862063,""node_index"":97,""status"":""present_in_order""},{""node_id"":5389227965,""node_index"":109,""status"":""present_in_order""},{""node_id"":5389227951,""node_index"":123,""status"":""present_in_order""},{""node_id"":7510862067,""node_index"":153,""status"":""present_in_order""},{""node_id"":2444154308,""node_index"":189,""status"":""present_in_order""},{""node_id"":1365560232,""node_index"":215,""status"":""present_in_order""},{""node_id"":1233481375,""node_index"":236,""status"":""present_in_order""},{""node_id"":4345706693,""node_index"":260,""status"":""present_in_order""},{""node_id"":7510862785,""node_index"":278,""status"":""present_in_order""},{""node_id"":7510862079,""node_index"":288,""status"":""present_in_order""},{""node_id"":7510862070,""node_index"":307,""status"":""present_in_order""},{""node_id"":10879528558,""node_index"":321,""status"":""present_in_order""},{""node_id"":7817991347,""node_index"":333,""status"":""present_in_order""},{""node_id"":9156468960,""node_index"":346,""status"":""present_in_order""}]",contiguous_mapped_route_geometry_evidence,0,346,26765.098174428487,346,"{""explicit_oneway"":90,""missing_direction_unresolved"":256}",9,False
