station_key,matched_features,retained_candidates,excluded_candidates,station_or_halt_candidates,stop_position_candidates,platform_candidates,status
CR_EXTERNAL_CODE:BVI,9,9,0,1,7,1,candidates_need_identity_and_track_review
CR_HB_LABEL:andheri,15,13,2,1,9,3,candidates_need_identity_and_track_review
CR_HB_LABEL:bandra,8,8,0,1,7,0,candidates_need_identity_and_track_review
CR_HB_LABEL:chembur,9,3,6,1,2,0,candidates_need_identity_and_track_review
CR_HB_LABEL:chunabhatti,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_HB_LABEL:cotton green,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_HB_LABEL:dockyard road,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_HB_LABEL:goregaon,7,7,0,1,6,0,candidates_need_identity_and_track_review
CR_HB_LABEL:govandi,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_HB_LABEL:gtb nagar,5,3,2,1,2,0,candidates_need_identity_and_track_review
CR_HB_LABEL:jogeshwari,8,8,0,2,6,0,candidates_need_identity_and_track_review
CR_HB_LABEL:juinagar,5,5,0,1,4,0,candidates_need_identity_and_track_review
CR_HB_LABEL:khar road,7,7,0,1,6,0,candidates_need_identity_and_track_review
CR_HB_LABEL:king's circle,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_HB_LABEL:kurla,9,9,0,1,8,0,candidates_need_identity_and_track_review
CR_HB_LABEL:mahim jn,7,7,0,1,6,0,candidates_need_identity_and_track_review
CR_HB_LABEL:mankhurd,6,3,3,1,2,0,candidates_need_identity_and_track_review
CR_HB_LABEL:masjid,5,5,0,1,4,0,candidates_need_identity_and_track_review
CR_HB_LABEL:mumbai csmt,7,7,0,1,6,0,candidates_need_identity_and_track_review
CR_HB_LABEL:ramnagar,5,5,0,1,4,0,candidates_need_identity_and_track_review
CR_HB_LABEL:reay road,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_HB_LABEL:sandhurst road,5,5,0,1,4,0,candidates_need_identity_and_track_review
CR_HB_LABEL:sanpada,5,5,0,1,4,0,candidates_need_identity_and_track_review
CR_HB_LABEL:santacruz,4,1,3,1,0,0,candidates_need_identity_and_track_review
CR_HB_LABEL:sewri,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_HB_LABEL:tilaknagar,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_HB_LABEL:vadala road,4,4,0,0,4,0,candidates_need_identity_and_track_review
CR_HB_LABEL:vashi,5,5,0,1,4,0,candidates_need_identity_and_track_review
CR_HB_LABEL:vileparle,7,7,0,1,6,0,candidates_need_identity_and_track_review
CR_THB_CODE:AIRL,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_THB_CODE:BEPR,8,5,3,1,4,0,candidates_need_identity_and_track_review
CR_THB_CODE:DIGH,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_THB_CODE:GNSL,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_THB_CODE:JNJ,5,5,0,1,4,0,candidates_need_identity_and_track_review
CR_THB_CODE:KHAG,4,4,0,2,2,0,candidates_need_identity_and_track_review
CR_THB_CODE:KNDS,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_THB_CODE:KPHN,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_THB_CODE:MANR,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_THB_CODE:NEU,7,7,0,1,6,0,candidates_need_identity_and_track_review
CR_THB_CODE:PNVL,11,11,0,2,7,2,candidates_need_identity_and_track_review
CR_THB_CODE:RABE,3,3,0,1,2,0,candidates_need_identity_and_track_review
CR_THB_CODE:SNPD,5,5,0,1,4,0,candidates_need_identity_and_track_review
CR_THB_CODE:SWDV,5,5,0,1,4,0,candidates_need_identity_and_track_review
CR_THB_CODE:TNA,12,12,0,1,10,1,candidates_need_identity_and_track_review
CR_THB_CODE:TUH,5,5,0,1,4,0,candidates_need_identity_and_track_review
CR_THB_CODE:VSH,5,5,0,1,4,0,candidates_need_identity_and_track_review
