source,station_key,osm_relation_id,relation_name,relation_anchor_features,member_order,member_feature_id,member_role,geometry_inventory_status,member_tags_json,candidate_boarding_node,member_mode_status,relation_mode_status
derived_explicit_relation_membership,CR_HB_LABEL:andheri,7684031,Andheri Railway Station,"[""node/1646774124"",""node/1646774126"",""node/1646774128"",""node/1646774129"",""node/1646774130"",""node/1646774131"",""node/1646774132"",""node/5696928866"",""node/7510862070"",""node/7510862071"",""way/1317052392"",""way/257491050"",""way/257491052""]",1,node/5696928866,,available,"{""date:rebuilt"":""2015"",""date:renamed"":""1934"",""historic:name"":""Salsette–Trombay"",""internet_access"":""no"",""name"":""Andheri"",""name:1928-1934"":""Salsette–Trombay"",""name:hi"":""अन्धेरी"",""name:mr"":""अंधेरी"",""network"":""Mumbai Suburban Railway"",""network:wikidata"":""Q3273422"",""operator"":""Western Railway"",""public_transport"":""station"",""railway"":""station"",""ref"":""ADH"",""start_date"":""1928"",""train"":""yes"",""wheelchair"":""yes"",""wikidata"":""Q4754334"",""wikimedia_commons"":""Category:Andheri railway station"",""wikipedia"":""en:Andheri railway station""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:andheri,7684031,Andheri Railway Station,"[""node/1646774124"",""node/1646774126"",""node/1646774128"",""node/1646774129"",""node/1646774130"",""node/1646774131"",""node/1646774132"",""node/5696928866"",""node/7510862070"",""node/7510862071"",""way/1317052392"",""way/257491050"",""way/257491052""]",2,way/1317052392,platform,available,"{""bench"":""yes"",""bin"":""yes"",""lit"":""yes"",""name"":""Andheri"",""public_transport"":""platform"",""railway"":""platform"",""ref"":""1"",""shelter"":""yes"",""train"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:andheri,7684031,Andheri Railway Station,"[""node/1646774124"",""node/1646774126"",""node/1646774128"",""node/1646774129"",""node/1646774130"",""node/1646774131"",""node/1646774132"",""node/5696928866"",""node/7510862070"",""node/7510862071"",""way/1317052392"",""way/257491050"",""way/257491052""]",3,way/257491049,platform,available,"{""bench"":""yes"",""bin"":""yes"",""lit"":""yes"",""name"":""Platform 2-3"",""public_transport"":""platform"",""railway"":""platform"",""ref"":""2;3"",""shelter"":""yes"",""train"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:andheri,7684031,Andheri Railway Station,"[""node/1646774124"",""node/1646774126"",""node/1646774128"",""node/1646774129"",""node/1646774130"",""node/1646774131"",""node/1646774132"",""node/5696928866"",""node/7510862070"",""node/7510862071"",""way/1317052392"",""way/257491050"",""way/257491052""]",4,way/257491050,platform,available,"{""bench"":""yes"",""bin"":""yes"",""lit"":""yes"",""name"":""Andheri"",""passenger_information_display"":""yes"",""public_transport"":""platform"",""railway"":""platform"",""ref"":""4 - 5"",""shelter"":""yes"",""surface"":""paved"",""train"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:andheri,7684031,Andheri Railway Station,"[""node/1646774124"",""node/1646774126"",""node/1646774128"",""node/1646774129"",""node/1646774130"",""node/1646774131"",""node/1646774132"",""node/5696928866"",""node/7510862070"",""node/7510862071"",""way/1317052392"",""way/257491050"",""way/257491052""]",5,way/257491052,platform,available,"{""bench"":""yes"",""bin"":""yes"",""lit"":""yes"",""name"":""Andheri"",""passenger_information_display"":""yes"",""public_transport"":""platform"",""railway"":""platform"",""ref"":""6;7"",""shelter"":""yes"",""train"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:andheri,7684031,Andheri Railway Station,"[""node/1646774124"",""node/1646774126"",""node/1646774128"",""node/1646774129"",""node/1646774130"",""node/1646774131"",""node/1646774132"",""node/5696928866"",""node/7510862070"",""node/7510862071"",""way/1317052392"",""way/257491050"",""way/257491052""]",6,way/257491053,platform,available,"{""bench"":""yes"",""bin"":""yes"",""landuse"":""commercial"",""lit"":""yes"",""name"":""Andheri"",""public_transport"":""platform"",""ref"":""8-9"",""shelter"":""yes""}",False,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:andheri,7684031,Andheri Railway Station,"[""node/1646774124"",""node/1646774126"",""node/1646774128"",""node/1646774129"",""node/1646774130"",""node/1646774131"",""node/1646774132"",""node/5696928866"",""node/7510862070"",""node/7510862071"",""way/1317052392"",""way/257491050"",""way/257491052""]",7,node/7510862070,stop,available,"{""name"":""Andheri"",""name:en"":""Andheri"",""name:mr"":""अंधेरी"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:andheri,7684031,Andheri Railway Station,"[""node/1646774124"",""node/1646774126"",""node/1646774128"",""node/1646774129"",""node/1646774130"",""node/1646774131"",""node/1646774132"",""node/5696928866"",""node/7510862070"",""node/7510862071"",""way/1317052392"",""way/257491050"",""way/257491052""]",8,node/7510862071,stop,available,"{""name"":""Andheri"",""name:en"":""Andheri"",""name:mr"":""अंधेरी"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""2"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:andheri,7684031,Andheri Railway Station,"[""node/1646774124"",""node/1646774126"",""node/1646774128"",""node/1646774129"",""node/1646774130"",""node/1646774131"",""node/1646774132"",""node/5696928866"",""node/7510862070"",""node/7510862071"",""way/1317052392"",""way/257491050"",""way/257491052""]",9,node/1646774132,stop,available,"{""name"":""Andheri"",""name:en"":""Andheri"",""name:mr"":""अंधेरी"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""3"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
derived_explicit_relation_membership,CR_HB_LABEL:andheri,7684031,Andheri Railway Station,"[""node/1646774124"",""node/1646774126"",""node/1646774128"",""node/1646774129"",""node/1646774130"",""node/1646774131"",""node/1646774132"",""node/5696928866"",""node/7510862070"",""node/7510862071"",""way/1317052392"",""way/257491050"",""way/257491052""]",10,node/1646774131,stop,available,"{""name"":""Andheri"",""name:en"":""Andheri"",""name:mr"":""अंधेरी"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""4"",""train"":""yes""}",True,requires_native_rail_membership_check,requires_native_rail_membership_check
