geography_id,district_code,subdistrict_code,level,name,tier,rule,evidence,persons_count,households_count
27:519:99999:802794:0101:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0101,core,greater_mumbai,Census 2011 district 519,92528,21985
27:519:99999:802794:0102:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0102,core,greater_mumbai,Census 2011 district 519,32450,7787
27:519:99999:802794:0103:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0103,core,greater_mumbai,Census 2011 district 519,23963,5618
27:519:99999:802794:0104:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0104,core,greater_mumbai,Census 2011 district 519,12402,2925
27:519:99999:802794:0105:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0105,core,greater_mumbai,Census 2011 district 519,23671,5551
27:519:99999:802794:0206:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0206,core,greater_mumbai,Census 2011 district 519,26794,5802
27:519:99999:802794:0207:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0207,core,greater_mumbai,Census 2011 district 519,14451,3223
27:519:99999:802794:0208:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0208,core,greater_mumbai,Census 2011 district 519,55886,11440
27:519:99999:802794:0209:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0209,core,greater_mumbai,Census 2011 district 519,30159,6675
27:519:99999:802794:0310:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0310,core,greater_mumbai,Census 2011 district 519,23703,5097
27:519:99999:802794:0311:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0311,core,greater_mumbai,Census 2011 district 519,25646,5335
27:519:99999:802794:0312:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0312,core,greater_mumbai,Census 2011 district 519,37220,7572
27:519:99999:802794:0313:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0313,core,greater_mumbai,Census 2011 district 519,17853,3960
27:519:99999:802794:0314:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0314,core,greater_mumbai,Census 2011 district 519,30878,7171
27:519:99999:802794:0315:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0315,core,greater_mumbai,Census 2011 district 519,30861,7344
27:519:99999:802794:0416:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0416,core,greater_mumbai,Census 2011 district 519,52217,11187
27:519:99999:802794:0417:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0417,core,greater_mumbai,Census 2011 district 519,54783,10999
27:519:99999:802794:0418:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0418,core,greater_mumbai,Census 2011 district 519,38581,9356
27:519:99999:802794:0419:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0419,core,greater_mumbai,Census 2011 district 519,15065,3641
27:519:99999:802794:0420:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0420,core,greater_mumbai,Census 2011 district 519,67661,15333
27:519:99999:802794:0421:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0421,core,greater_mumbai,Census 2011 district 519,118559,27040
27:519:99999:802794:0522:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0522,core,greater_mumbai,Census 2011 district 519,88149,18125
27:519:99999:802794:0523:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0523,core,greater_mumbai,Census 2011 district 519,57232,12336
27:519:99999:802794:0524:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0524,core,greater_mumbai,Census 2011 district 519,19851,4264
27:519:99999:802794:0525:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0525,core,greater_mumbai,Census 2011 district 519,32121,5943
27:519:99999:802794:0526:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0526,core,greater_mumbai,Census 2011 district 519,35980,6842
27:519:99999:802794:0527:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0527,core,greater_mumbai,Census 2011 district 519,159953,30836
27:519:99999:802794:0628:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0628,core,greater_mumbai,Census 2011 district 519,107563,24948
27:519:99999:802794:0629:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0629,core,greater_mumbai,Census 2011 district 519,168063,35973
27:519:99999:802794:0630:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0630,core,greater_mumbai,Census 2011 district 519,85346,18812
27:519:99999:802794:0731:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0731,core,greater_mumbai,Census 2011 district 519,44768,11331
27:519:99999:802794:0732:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0732,core,greater_mumbai,Census 2011 district 519,484266,108293
27:519:99999:802794:0835:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0835,core,greater_mumbai,Census 2011 district 519,48021,10786
27:519:99999:802794:0836:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0836,core,greater_mumbai,Census 2011 district 519,148827,33628
27:519:99999:802794:0837:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0837,core,greater_mumbai,Census 2011 district 519,96529,20910
27:519:99999:802794:0838:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0838,core,greater_mumbai,Census 2011 district 519,84372,18133
27:519:99999:802794:0933:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0933,core,greater_mumbai,Census 2011 district 519,454589,94194
27:519:99999:802794:0934:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0934,core,greater_mumbai,Census 2011 district 519,80583,19603
27:519:99999:802794:0935:000000,519,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0935,core,greater_mumbai,Census 2011 district 519,63867,14341
27:518:99999:802794:1043:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1043,core,greater_mumbai,Census 2011 district 518,99427,21127
27:518:99999:802794:1045:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1045,core,greater_mumbai,Census 2011 district 518,185572,38257
27:518:99999:802794:1048:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1048,core,greater_mumbai,Census 2011 district 518,272240,60882
27:518:99999:802794:1139:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1139,core,greater_mumbai,Census 2011 district 518,47123,9739
27:518:99999:802794:1140:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1140,core,greater_mumbai,Census 2011 district 518,36739,9538
27:518:99999:802794:1141:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1141,core,greater_mumbai,Census 2011 district 518,48710,12403
27:518:99999:802794:1142:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1142,core,greater_mumbai,Census 2011 district 518,59337,13302
27:518:99999:802794:1143:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1143,core,greater_mumbai,Census 2011 district 518,29539,7175
27:518:99999:802794:1144:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1144,core,greater_mumbai,Census 2011 district 518,18855,4793
27:518:99999:802794:1145:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1145,core,greater_mumbai,Census 2011 district 518,12322,3024
27:518:99999:802794:1146:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1146,core,greater_mumbai,Census 2011 district 518,26671,6710
27:518:99999:802794:1147:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1147,core,greater_mumbai,Census 2011 district 518,28285,6259
27:518:99999:802794:1249:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1249,core,greater_mumbai,Census 2011 district 518,164831,39274
27:518:99999:802794:1255:000000,518,99999,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-1255,core,greater_mumbai,Census 2011 district 518,393391,90659
