person_id,tour_index,purpose,location_id,destination_geography_id,x_m,y_m,duration_s,initial_mode,source,destination_source
baseline_0,0,education,osm_way_202555853,27:518:99999:802794:1352:000000,271632.3716605586,2118798.860890519,21600,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_1,0,work,osm_way_611830525,27:519:99999:802794:0732:000000,274542.8723127104,2106296.2735180566,28800,auto_rickshaw,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_2,0,education,osm_way_345152616,27:518:99999:802794:2385:000000,282315.7244858332,2118920.9107136875,21600,walk,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_3,0,education,osm_way_1176968166,,330897.9183351079,2082318.3990178518,21600,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_4,0,education,osm_way_706489199,27:518:99999:802794:1146:000000,271993.5029246642,2111747.5750653995,21600,pt,synthetic_provisional_activity,OSM_area_representative_point_not_capacity_or_entrance
baseline_5,0,work,osm_node_11115369264,27:518:99999:802794:2180:000000,281720.268367863,2106777.5833195,28800,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_7,0,work,osm_node_11612816242,27:519:99999:802794:0527:000000,270430.7021413725,2098883.9349018806,28800,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_7,1,shopping,osm_node_3217210410,27:518:99999:802794:2080:000000,281831.4123921656,2107927.0845820764,4380,walk,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_8,0,work,osm_node_11400791211,27:518:99999:802794:2282:000000,278636.9274905743,2111225.3334119148,28800,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_9,0,leisure,osm_node_12679813301,27:519:99999:802794:0420:000000,269188.27645166963,2098281.4861528715,5670,auto_rickshaw,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_10,0,shopping,osm_node_13064902223,27:518:99999:802794:1141:000000,271618.1403600513,2108340.9837545105,4380,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_11,0,work,osm_node_7626670561,27:518:99999:802794:2180:000000,281336.3145945213,2106763.0688776975,28800,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
baseline_15,0,work,osm_node_13580544734,27:520:04173:553473:0000:000000,310407.81685844855,2092271.7072102334,28800,taxi,synthetic_provisional_activity,OSM_point_location_not_capacity
