person_id,mode,departure_s,origin_link_id,destination_link_id,gate_axis,source,od_status
background_truck_0,truck,27063,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_1,truck,60455,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_2,truck,55998,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_3,truck,80548,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_4,truck,15786,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_5,truck,67357,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_6,truck,18626,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_7,truck,47253,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_8,truck,44862,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_9,truck,75244,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_10,truck,62617,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_11,truck,41258,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_12,truck,80919,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_13,truck,53302,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_14,truck,2542,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_15,truck,85305,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_16,truck,70245,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_17,truck,80607,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_18,truck,83659,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_19,truck,33457,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_20,truck,79042,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_21,truck,44451,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_22,truck,57829,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_23,truck,8484,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_24,truck,8104,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_25,truck,51907,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_26,truck,49711,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_27,truck,46332,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_28,truck,55484,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_29,truck,81609,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_30,truck,32959,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_31,truck,5456,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_32,truck,81853,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_33,truck,66669,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_34,truck,84260,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_35,truck,57096,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_36,truck,38452,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_37,truck,2838,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_38,truck,10115,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_39,truck,12359,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_40,truck,35748,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_41,truck,23793,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_42,truck,27340,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_43,truck,78702,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_44,truck,47884,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_45,truck,11534,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_46,truck,50848,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_47,truck,46252,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_48,truck,21241,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_49,truck,61137,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_50,truck,48922,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_51,truck,21688,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_52,truck,32303,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_53,truck,64134,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_54,truck,43057,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_55,truck,61200,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_56,truck,19421,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_57,truck,75260,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_58,truck,80806,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_59,truck,41179,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_60,truck,52119,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_61,truck,41600,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_62,truck,54404,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_63,truck,11299,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_64,truck,79043,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_65,truck,16791,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_66,truck,6146,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_67,truck,44522,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_68,truck,18426,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_69,truck,35662,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_70,truck,82749,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_71,truck,1455,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_72,truck,38476,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_73,truck,55337,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_74,truck,86288,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_75,truck,68332,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_76,truck,67858,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_77,truck,71329,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_78,truck,22562,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_79,truck,33191,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_80,truck,70970,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_81,truck,38523,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_82,truck,85458,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_83,truck,62256,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_84,truck,3512,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_85,truck,3761,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_86,truck,24239,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_87,truck,34225,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_88,truck,39264,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_89,truck,1976,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_90,truck,10449,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_91,truck,85060,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_92,truck,21171,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_93,truck,63491,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_94,truck,13935,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_95,truck,10026,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_96,truck,41511,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_97,truck,30862,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_98,truck,54799,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_99,truck,49902,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_100,truck,11234,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_101,truck,2059,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_102,truck,22007,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_103,truck,31642,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_104,truck,39420,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_105,truck,37648,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_106,truck,43324,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_107,truck,67496,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_108,truck,46982,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_109,truck,6306,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_110,truck,71745,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_111,truck,44999,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_112,truck,19065,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_113,truck,26446,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_114,truck,24189,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_115,truck,60132,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_116,truck,34644,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_117,truck,19235,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_118,truck,84152,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_119,truck,53462,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_120,truck,54244,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_121,truck,950,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_122,truck,44894,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_123,truck,77135,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_124,truck,70453,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_125,truck,8968,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_126,truck,32920,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_127,truck,63931,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_128,truck,38114,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_129,truck,36691,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_130,truck,81250,99494,164124,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_131,truck,6305,99494,605798,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_132,truck,24292,164124,99494,north,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
background_truck_133,truck,36123,605798,99494,east,modelled_provisional_background_from_historical_controls,port_locality_and_connected_research_network_extremities_not_observed_od
