person_id,home_geography_id,destination_geography_id,age_years,sex,employed,income_monthly_inr,permitted_modes,purpose,initial_mode,departure_s,activity_duration_s,source
baseline_0,27:518:99999:802794:1460:000000,27:518:99999:802794:1562:000000,16,female,False,41656.80495848191,"walk,pt",education,walk,31271.662396987165,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_1,27:518:99999:802794:2487:000000,27:518:99999:802794:2385:000000,37,male,True,45288.77357262597,"walk,pt,taxi,auto_rickshaw",work,auto_rickshaw,35706.9219013217,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_2,27:518:99999:802794:2384:000000,27:518:99999:802794:2384:000000,15,female,False,13613.082705631836,"walk,pt",education,walk,27730.473915656858,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_3,27:520:04175:553748:0000:000000,27:520:04175:553761:0000:000000,12,male,False,84909.74413887251,"walk,pt,bike",education,pt,30557.81554419833,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_4,27:518:99999:802794:1048:000000,27:518:99999:802794:2283:000000,11,female,False,15599.883707953843,"walk,pt",education,pt,25537.883543711207,21600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_5,27:519:99999:802794:0629:000000,27:518:99999:802794:1142:000000,29,male,True,59612.712004294684,"walk,pt,taxi,auto_rickshaw",work,taxi,29141.42150289847,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_6,27:518:99999:802794:1249:000000,27:518:99999:802794:1048:000000,30,female,False,16390.897197773338,"walk,pt,taxi,auto_rickshaw",other,auto_rickshaw,38373.99606605602,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_7,27:518:99999:802794:2080:000000,27:518:99999:802794:1977:000000,35,female,True,85883.90810843237,"walk,pt,taxi,auto_rickshaw",work,walk,30963.79871618984,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_8,27:518:99999:802794:1978:000000,27:518:99999:802794:2179:000000,45,male,True,58452.11626529608,"walk,pt,taxi,auto_rickshaw",work,taxi,29318.747666621643,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_9,27:519:99999:802794:0933:000000,27:518:99999:802794:1045:000000,33,male,False,13894.336357935517,"walk,pt,motorbike,taxi,auto_rickshaw",other,walk,38441.20177468515,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_10,27:519:99999:802794:0314:000000,27:519:99999:802794:0933:000000,63,female,False,58821.14327880199,"walk,pt,taxi,auto_rickshaw",other,pt,38780.21204950271,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_11,27:518:99999:802794:1874:000000,27:518:99999:802794:2080:000000,23,male,True,69526.11229173344,"walk,pt,taxi,auto_rickshaw",work,taxi,34142.091724845275,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_12,27:520:04175:553818:0001:000000,27:520:04175:553711:0000:000000,26,female,False,44287.074713496644,"walk,pt,bike,taxi,ride,auto_rickshaw",other,walk,36134.99111611941,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_13,27:518:99999:802794:2282:000000,27:518:99999:802794:2179:000000,79,male,False,12855.893278974498,"walk,pt,taxi,auto_rickshaw",other,pt,36225.84621035485,3600,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_14,27:517:04159:551757:0000:000000,27:517:04159:551757:0000:000000,3,female,False,17924.964215346434,"walk,pt",home_only,,0,0,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_15,27:520:04184:554889:0000:000000,27:520:04181:554549:0000:000000,61,female,True,119440.05226666108,"walk,pt,taxi,auto_rickshaw",work,taxi,33256.05390883083,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_16,27:519:99999:802794:0732:000000,27:519:99999:802794:0732:000000,0,female,False,51567.90836958751,"walk,pt",home_only,,0,0,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_17,27:520:04175:553763:0000:000000,27:520:04175:553755:0000:000000,58,female,True,27404.036518333276,"walk,pt,motorbike,taxi,auto_rickshaw",work,taxi,35359.74819983228,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_18,27:520:04179:554415:0000:000000,27:520:04182:554780:0000:000000,37,female,True,63385.0200345074,"walk,pt,taxi,auto_rickshaw",work,auto_rickshaw,30349.462409484786,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_19,27:518:99999:802794:1667:000000,27:518:99999:802794:1460:000000,35,female,True,19203.360202776723,"walk,pt,taxi,auto_rickshaw",work,auto_rickshaw,29998.461270902248,28800,synthetic_from_historical_marginals_and_provisional_assumptions
baseline_20,27:520:04173:553514:0001:000000,27:520:04173:553514:0001:000000,10,male,False,23081.930158517225,"walk,pt,bike",education,bike,29080.96911529116,21600,synthetic_from_historical_marginals_and_provisional_assumptions
