match_kind,match_id,profile_id,upper_bounds_m,fares_money,linear_rate_money_per_m,currency_code,source,source_id
line,BEST_4458,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4459,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4470,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4471,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4501,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4502,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4253,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4254,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4524,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4525,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4522,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
line,BEST_4523,BEST_ac_adult,5000.0|10000.0|15000.0|20000.0|25000.0|30000.0|35000.0|40000.0|45000.0|50000.0,12.0|20.0|30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0,0.001,INR,published_bands_with_provisional_route_class_and_modelled_tail,best_bus_pass_2025
