intersection_id,osm_node_id,scats_site_id,scats_match_dist_m,signal_installed,scats_source,n_approach_nodes,lat,lon,dist_to_alignment_m,control_type,cycle_time_s,cycle_time_sweep_low,cycle_time_sweep_high,n_phases,phase_split_pct,offset_s,coordination_group,pedestrian_phase_flag,ped_clearance_s,tsp_enabled,tsp_type,tsp_detection_distance_m,tsp_max_extension_s,mean_delay_to_tram_s,source,scenario_variant_ref
NLR_SIG_01,8229466262;11359660267;728668598;728663814;11359660261;11359660268;11359685069,4762,15.1,2018-11-15,observed,7,-32.92452494285714,151.7598467,1.3,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_02,11359659321;9239464139;9239464140;9239464131;5094852661;360031629,4770,12.1,2018-11-08,observed,6,-32.9259519,151.76431656666668,3.0,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_03,11989946658;6277728507;10167781847;10167781830;5094852648,4764,3.4,2018-07-23,observed,5,-32.9272834,151.76833526000001,2.8,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_04,11359659195;11359537715;11370554784;11359659196;11359659197,782,2.7,1973-08-23,observed,5,-32.92713404,151.77083284,3.0,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_05,11359659173;11359537714;1839756831;5952817237,4765,26.4,2018-07-23,observed,4,-32.926976175,151.77212255,5.6,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_06,6226501148;6277728509;8067222360;11359537713;11359659170,1656,6.1,1983-05-18,observed,5,-32.926869139999994,151.7729622,2.4,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_07,8189131453;11359537712;8189131444;11359537711;11359597768,1655,10.2,1981-10-21,observed,5,-32.926747660000004,151.77475420000002,2.1,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_08,12000549543,1977,10.6,1989-04-28,observed,1,-32.9270206,151.7766138,56.6,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_09,11359597726;11359537710;11359537709;6228690326,4766,10.0,2018-09-28,observed,4,-32.92644745,151.77694205,3.7,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_10,11359537708;11359597692;11359597691;11359537707,2901,6.1,1995-07-14,observed,4,-32.926270675,151.779114825,4.0,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_11,5952817230;6131757204;5952824124;5952817263,4767,0.7,2018-09-28,observed,4,-32.92631895,151.78127875,3.4,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_12,11359537669;11359537670;11359537682;8250210106;8250210107,4768,3.0,2018-09-28,observed,5,-32.92647212,151.78232428,3.2,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_13,11359498760;11359498758;11359498759;6131985992,1875,0.9,1988-12-08,observed,4,-32.927043325,151.78462495,4.5,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_14,10167781817;10167781819;6228690331;13245541658;11359537729,4769,4.8,2018-09-28,observed,5,-32.92735646,151.78581098,2.8,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,1,8,0,,0,0,24.8,assumed,S2_base
NLR_SIG_01,8229466262;11359660267;728668598;728663814;11359660261;11359660268;11359685069,4762,15.1,2018-11-15,observed,7,-32.92452494285714,151.7598467,1.3,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_02,11359659321;9239464139;9239464140;9239464131;5094852661;360031629,4770,12.1,2018-11-08,observed,6,-32.9259519,151.76431656666668,3.0,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_03,11989946658;6277728507;10167781847;10167781830;5094852648,4764,3.4,2018-07-23,observed,5,-32.9272834,151.76833526000001,2.8,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_04,11359659195;11359537715;11370554784;11359659196;11359659197,782,2.7,1973-08-23,observed,5,-32.92713404,151.77083284,3.0,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_05,11359659173;11359537714;1839756831;5952817237,4765,26.4,2018-07-23,observed,4,-32.926976175,151.77212255,5.6,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_06,6226501148;6277728509;8067222360;11359537713;11359659170,1656,6.1,1983-05-18,observed,5,-32.926869139999994,151.7729622,2.4,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_07,8189131453;11359537712;8189131444;11359537711;11359597768,1655,10.2,1981-10-21,observed,5,-32.926747660000004,151.77475420000002,2.1,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_08,12000549543,1977,10.6,1989-04-28,observed,1,-32.9270206,151.7766138,56.6,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_09,11359597726;11359537710;11359537709;6228690326,4766,10.0,2018-09-28,observed,4,-32.92644745,151.77694205,3.7,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_10,11359537708;11359597692;11359597691;11359537707,2901,6.1,1995-07-14,observed,4,-32.926270675,151.779114825,4.0,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_11,5952817230;6131757204;5952824124;5952817263,4767,0.7,2018-09-28,observed,4,-32.92631895,151.78127875,3.4,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_12,11359537669;11359537670;11359537682;8250210106;8250210107,4768,3.0,2018-09-28,observed,5,-32.92647212,151.78232428,3.2,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_13,11359498760;11359498758;11359498759;6131985992,1875,0.9,1988-12-08,observed,4,-32.927043325,151.78462495,4.5,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_14,10167781817;10167781819;6228690331;13245541658;11359537729,4769,4.8,2018-09-28,observed,5,-32.92735646,151.78581098,2.8,adaptive,110,80,140,4,45|15|30|10,0,HUNTER_SCOTT,1,8,1,green_extension+early_start,120,12,6.2,assumed,S2b_full_tsp
NLR_SIG_01,8229466262;11359660267;728668598;728663814;11359660261;11359660268;11359685069,4762,15.1,2018-11-15,observed,7,-32.92452494285714,151.7598467,1.3,adaptive,100,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,0.0,assumed,S0_no_tram
NLR_SIG_02,11359659321;9239464139;9239464140;9239464131;5094852661;360031629,4770,12.1,2018-11-08,observed,6,-32.9259519,151.76431656666668,3.0,adaptive,100,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,0.0,assumed,S0_no_tram
NLR_SIG_03,11989946658;6277728507;10167781847;10167781830;5094852648,4764,3.4,2018-07-23,observed,5,-32.9272834,151.76833526000001,2.8,adaptive,100,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,0.0,assumed,S0_no_tram
NLR_SIG_04,11359659195;11359537715;11370554784;11359659196;11359659197,782,2.7,1973-08-23,observed,5,-32.92713404,151.77083284,3.0,adaptive,100,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,0.0,assumed,S0_no_tram
NLR_SIG_05,11359659173;11359537714;1839756831;5952817237,4765,26.4,2018-07-23,observed,4,-32.926976175,151.77212255,5.6,adaptive,100,80,140,4,45|15|30|10,0,HUNTER_SCOTT,0,8,0,,0,0,0.0,assumed,S0_no_tram
