direction_id,from_stop,to_stop,distance_m,scheduled_runtime_s,kinematic_runtime_s,residual_s,implied_mean_speed_kmh,line_speed_kmh,distance_source,kinematic_source
0,Newcastle Interchange,Honeysuckle,681.5,180,70.2,109.8,13.6,40.0,gtfs_shape_scaled,computed
0,Honeysuckle,Civic,588.4,120,61.9,58.1,17.7,40.0,gtfs_shape_scaled,computed
0,Civic,Crown Street,544.5,120,57.9,62.1,16.3,40.0,gtfs_shape_scaled,computed
0,Crown Street,Queens Wharf,437.9,120,48.3,71.7,13.1,40.0,gtfs_shape_scaled,computed
0,Queens Wharf,Newcastle Beach,477.0,180,51.8,128.2,9.5,40.0,gtfs_shape_scaled,computed
1,Newcastle Beach,Queens Wharf,475.7,180,51.7,128.3,9.5,40.0,gtfs_shape_scaled,computed
1,Queens Wharf,Crown Street,435.6,120,48.1,71.9,13.1,40.0,gtfs_shape_scaled,computed
1,Crown Street,Civic,545.1,120,58.0,62.0,16.4,40.0,gtfs_shape_scaled,computed
1,Civic,Honeysuckle,590.8,180,62.1,117.9,11.8,40.0,gtfs_shape_scaled,computed
1,Honeysuckle,Newcastle Interchange,682.1,120,70.3,49.7,20.5,40.0,gtfs_shape_scaled,computed
