postcode,vehicle_type,vehicles,postal_area_share_inside
2264,Articulated trucks,45,1.0
2264,Campervans,167,1.0
2264,Heavy buses,22,1.0
2264,Heavy rigid trucks,234,1.0
2264,Light buses,67,1.0
2264,Light commercial vehicles,2955,1.0
2264,Light rigid trucks,225,1.0
2264,Motorcycles,972,1.0
2264,Non-freight-carrying vehicles,12,1.0
2264,Passenger vehicles,10369,1.0
2265,Articulated trucks,12,1.0
2265,Campervans,67,1.0
2265,Heavy buses,14,1.0
2265,Heavy rigid trucks,129,1.0
2265,Light buses,17,1.0
2265,Light commercial vehicles,1402,1.0
2265,Light rigid trucks,104,1.0
2265,Motorcycles,508,1.0
2265,Non-freight-carrying vehicles,7,1.0
2265,Passenger vehicles,5265,1.0
2267,Articulated trucks,0,1.0
2267,Campervans,44,1.0
2267,Heavy buses,4,1.0
2267,Heavy rigid trucks,14,1.0
2267,Light buses,8,1.0
2267,Light commercial vehicles,433,1.0
2267,Light rigid trucks,22,1.0
2267,Motorcycles,147,1.0
2267,Non-freight-carrying vehicles,0,1.0
2267,Passenger vehicles,1941,1.0
2278,Articulated trucks,3,1.0
2278,Campervans,20,1.0
2278,Heavy rigid trucks,47,1.0
2278,Light buses,6,1.0
2278,Light commercial vehicles,660,1.0
2278,Light rigid trucks,44,1.0
2278,Motorcycles,289,1.0
2278,Non-freight-carrying vehicles,0,1.0
2278,Passenger vehicles,1550,1.0
2280,Articulated trucks,16,1.0
2280,Campervans,176,1.0
2280,Heavy buses,11,1.0
2280,Heavy rigid trucks,103,1.0
2280,Light buses,22,1.0
2280,Light commercial vehicles,3893,1.0
2280,Light rigid trucks,220,1.0
2280,Motorcycles,1114,1.0
2280,Non-freight-carrying vehicles,6,1.0
2280,Passenger vehicles,16730,1.0
2281,Articulated trucks,14,1.0
2281,Campervans,164,1.0
2281,Heavy buses,3,1.0
2281,Heavy rigid trucks,72,1.0
2281,Light buses,17,1.0
2281,Light commercial vehicles,2436,1.0
2281,Light rigid trucks,118,1.0
2281,Motorcycles,688,1.0
2281,Non-freight-carrying vehicles,0,1.0
2281,Passenger vehicles,9536,1.0
2282,Articulated trucks,9,1.0
2282,Campervans,116,1.0
2282,Heavy buses,4,1.0
2282,Heavy rigid trucks,101,1.0
2282,Light buses,26,1.0
2282,Light commercial vehicles,2170,1.0
2282,Light rigid trucks,126,1.0
2282,Motorcycles,680,1.0
2282,Non-freight-carrying vehicles,6,1.0
2282,Passenger vehicles,10811,1.0
2283,Articulated trucks,38,1.0
2283,Campervans,231,1.0
2283,Heavy buses,27,1.0
2283,Heavy rigid trucks,256,1.0
2283,Light buses,57,1.0
2283,Light commercial vehicles,3730,1.0
2283,Light rigid trucks,229,1.0
2283,Motorcycles,1271,1.0
2283,Non-freight-carrying vehicles,7,1.0
2283,Passenger vehicles,15393,1.0
2284,Articulated trucks,10,1.0
2284,Campervans,89,1.0
2284,Heavy buses,12,1.0
2284,Heavy rigid trucks,216,1.0
2284,Light buses,44,1.0
2284,Light commercial vehicles,2268,1.0
2284,Light rigid trucks,184,1.0
2284,Motorcycles,715,1.0
2284,Non-freight-carrying vehicles,3,1.0
2284,Passenger vehicles,8279,1.0
2285,Articulated trucks,45,1.0
2285,Campervans,156,1.0
2285,Heavy buses,20,1.0
2285,Heavy rigid trucks,294,1.0
2285,Light buses,69,1.0
2285,Light commercial vehicles,5584,1.0
2285,Light rigid trucks,410,1.0
2285,Motorcycles,1663,1.0
2285,Non-freight-carrying vehicles,20,1.0
2285,Passenger vehicles,22565,1.0
2286,Campervans,28,1.0
2286,Heavy buses,3,1.0
2286,Heavy rigid trucks,25,1.0
2286,Light buses,15,1.0
2286,Light commercial vehicles,898,1.0
2286,Light rigid trucks,57,1.0
2286,Motorcycles,395,1.0
2286,Non-freight-carrying vehicles,0,1.0
2286,Passenger vehicles,2876,1.0
2287,Articulated trucks,9,1.0
2287,Campervans,188,1.0
2287,Heavy buses,12,1.0
2287,Heavy rigid trucks,136,1.0
2287,Light buses,34,1.0
2287,Light commercial vehicles,4349,1.0
2287,Light rigid trucks,178,1.0
2287,Motorcycles,1732,1.0
2287,Non-freight-carrying vehicles,7,1.0
2287,Passenger vehicles,24958,1.0
2289,Articulated trucks,5,1.0
2289,Campervans,82,1.0
2289,Heavy buses,4,1.0
2289,Heavy rigid trucks,100,1.0
2289,Light buses,20,1.0
2289,Light commercial vehicles,2278,1.0
2289,Light rigid trucks,134,1.0
2289,Motorcycles,751,1.0
2289,Non-freight-carrying vehicles,11,1.0
2289,Passenger vehicles,12201,1.0
2290,Articulated trucks,6,1.0
2290,Campervans,214,1.0
2290,Heavy buses,11,1.0
2290,Heavy rigid trucks,228,1.0
2290,Light buses,53,1.0
2290,Light commercial vehicles,5169,1.0
2290,Light rigid trucks,316,1.0
2290,Motorcycles,1649,1.0
2290,Non-freight-carrying vehicles,20,1.0
2290,Passenger vehicles,21637,1.0
2291,Articulated trucks,3,1.0
2291,Campervans,79,1.0
2291,Heavy buses,3,1.0
2291,Heavy rigid trucks,26,1.0
2291,Light buses,19,1.0
2291,Light commercial vehicles,1467,1.0
2291,Light rigid trucks,79,1.0
2291,Motorcycles,711,1.0
2291,Non-freight-carrying vehicles,5,1.0
2291,Passenger vehicles,8587,1.0
2292,Articulated trucks,13,1.0
2292,Campervans,16,1.0
2292,Heavy buses,0,1.0
2292,Heavy rigid trucks,116,1.0
2292,Light buses,13,1.0
2292,Light commercial vehicles,894,1.0
2292,Light rigid trucks,90,1.0
2292,Motorcycles,150,1.0
2292,Non-freight-carrying vehicles,15,1.0
2292,Passenger vehicles,2460,1.0
2293,Campervans,24,1.0
2293,Heavy rigid trucks,34,1.0
2293,Light buses,6,1.0
2293,Light commercial vehicles,704,1.0
2293,Light rigid trucks,42,1.0
2293,Motorcycles,154,1.0
2293,Non-freight-carrying vehicles,0,1.0
2293,Passenger vehicles,2528,1.0
2294,Articulated trucks,26,1.0
2294,Campervans,21,1.0
2294,Heavy buses,0,1.0
2294,Heavy rigid trucks,34,1.0
2294,Light buses,9,1.0
2294,Light commercial vehicles,450,1.0
2294,Light rigid trucks,57,1.0
2294,Motorcycles,115,1.0
2294,Non-freight-carrying vehicles,7,1.0
2294,Passenger vehicles,1280,1.0
2295,Articulated trucks,0,1.0
2295,Campervans,63,1.0
2295,Heavy buses,0,1.0
2295,Heavy rigid trucks,34,1.0
2295,Light buses,8,1.0
2295,Light commercial vehicles,1086,1.0
2295,Light rigid trucks,44,1.0
2295,Motorcycles,336,1.0
2295,Non-freight-carrying vehicles,3,1.0
2295,Passenger vehicles,4679,1.0
2296,Campervans,11,1.0
2296,Heavy rigid trucks,6,1.0
2296,Light buses,14,1.0
2296,Light commercial vehicles,277,1.0
2296,Light rigid trucks,24,1.0
2296,Motorcycles,276,1.0
2296,Passenger vehicles,1392,1.0
2297,Campervans,14,1.0
2297,Heavy buses,3,1.0
2297,Heavy rigid trucks,17,1.0
2297,Light buses,3,1.0
2297,Light commercial vehicles,325,1.0
2297,Light rigid trucks,21,1.0
2297,Motorcycles,74,1.0
2297,Non-freight-carrying vehicles,3,1.0
2297,Passenger vehicles,1183,1.0
2298,Articulated trucks,0,1.0
2298,Campervans,44,1.0
2298,Heavy buses,17,1.0
2298,Heavy rigid trucks,30,1.0
2298,Light buses,20,1.0
2298,Light commercial vehicles,966,1.0
2298,Light rigid trucks,44,1.0
2298,Motorcycles,371,1.0
2298,Non-freight-carrying vehicles,0,1.0
2298,Passenger vehicles,5438,1.0
2299,Articulated trucks,3,1.0
2299,Campervans,48,1.0
2299,Heavy buses,3,1.0
2299,Heavy rigid trucks,62,1.0
2299,Light buses,6,1.0
2299,Light commercial vehicles,1216,1.0
2299,Light rigid trucks,76,1.0
2299,Motorcycles,397,1.0
2299,Non-freight-carrying vehicles,0,1.0
2299,Passenger vehicles,6979,1.0
2300,Articulated trucks,3,1.0
2300,Campervans,83,1.0
2300,Heavy buses,5,1.0
2300,Heavy rigid trucks,189,1.0
2300,Light buses,59,1.0
2300,Light commercial vehicles,1449,1.0
2300,Light rigid trucks,97,1.0
2300,Motorcycles,535,1.0
2300,Non-freight-carrying vehicles,5,1.0
2300,Passenger vehicles,8331,1.0
2302,Articulated trucks,0,1.0
2302,Campervans,7,1.0
2302,Heavy buses,0,1.0
2302,Heavy rigid trucks,7,1.0
2302,Light buses,3,1.0
2302,Light commercial vehicles,176,1.0
2302,Light rigid trucks,10,1.0
2302,Motorcycles,62,1.0
2302,Passenger vehicles,1031,1.0
2303,Articulated trucks,22,1.0
2303,Campervans,60,1.0
2303,Heavy buses,195,1.0
2303,Heavy rigid trucks,24,1.0
2303,Light buses,9,1.0
2303,Light commercial vehicles,1332,1.0
2303,Light rigid trucks,52,1.0
2303,Motorcycles,329,1.0
2303,Non-freight-carrying vehicles,0,1.0
2303,Passenger vehicles,6547,1.0
2304,Articulated trucks,70,1.0
2304,Campervans,73,1.0
2304,Heavy buses,11,1.0
2304,Heavy rigid trucks,309,1.0
2304,Light buses,44,1.0
2304,Light commercial vehicles,3261,1.0
2304,Light rigid trucks,307,1.0
2304,Motorcycles,606,1.0
2304,Non-freight-carrying vehicles,21,1.0
2304,Passenger vehicles,9711,1.0
2305,Articulated trucks,0,1.0
2305,Campervans,53,1.0
2305,Heavy buses,11,1.0
2305,Heavy rigid trucks,34,1.0
2305,Light buses,12,1.0
