lga,band,holders,erp_2024,rate
Cessnock,0-4,0.0,4764.0,0.0
Cessnock,5-11,0.0,6521.8,0.0
Cessnock,12-17,430.0,5244.9,0.082
Cessnock,18-24,4941.0,5807.3,0.8508
Cessnock,25-34,10497.0,10403.0,1.0
Cessnock,35-44,9498.0,9217.0,1.0
Cessnock,45-54,7764.0,7841.0,0.9902
Cessnock,55-64,7894.0,7820.0,1.0
Cessnock,65-74,6898.0,6908.0,0.9986
Cessnock,75-84,3539.0,3682.0,0.9612
Cessnock,85-120,544.0,1143.0,0.4759
Lake Macquarie,0-4,0.0,12350.0,0.0
Lake Macquarie,5-11,0.0,19248.6,0.0
Lake Macquarie,12-17,1406.0,17056.5,0.0824
Lake Macquarie,18-24,14841.0,17726.9,0.8372
Lake Macquarie,25-34,25050.0,25465.0,0.9837
Lake Macquarie,35-44,28887.0,27938.0,1.0
Lake Macquarie,45-54,26275.0,26725.0,0.9832
Lake Macquarie,55-64,26302.0,26714.0,0.9846
Lake Macquarie,65-74,24601.0,25027.0,0.983
Lake Macquarie,75-84,15801.0,17173.0,0.9201
Lake Macquarie,85-120,3405.0,6435.0,0.5291
Maitland,0-4,0.0,6898.0,0.0
Maitland,5-11,0.0,9789.4,0.0
Maitland,12-17,662.0,8333.8,0.0794
Maitland,18-24,7091.0,8409.8,0.8432
Maitland,25-34,13677.0,14235.0,0.9608
Maitland,35-44,14765.0,13503.0,1.0
Maitland,45-54,11522.0,11445.0,1.0
Maitland,55-64,10066.0,10193.0,0.9875
Maitland,65-74,8420.0,8502.0,0.9904
Maitland,75-84,4709.0,5164.0,0.9119
Maitland,85-120,874.0,1690.0,0.5172
Newcastle,0-4,0.0,9406.0,0.0
Newcastle,5-11,0.0,12899.4,0.0
Newcastle,12-17,901.0,10927.7,0.0825
Newcastle,18-24,13816.0,20460.9,0.6752
Newcastle,25-34,25936.0,30417.0,0.8527
Newcastle,35-44,23413.0,23745.0,0.986
Newcastle,45-54,19814.0,20725.0,0.956
Newcastle,55-64,17859.0,19137.0,0.9332
Newcastle,65-74,15112.0,15619.0,0.9675
Newcastle,75-84,8312.0,9516.0,0.8735
Newcastle,85-120,1755.0,4007.0,0.438
Port Stephens,0-4,0.0,3813.0,0.0
Port Stephens,5-11,0.0,6084.5,0.0
Port Stephens,12-17,520.0,6063.0,0.0858
Port Stephens,18-24,5087.0,6073.5,0.8376
Port Stephens,25-34,7341.0,7233.0,1.0
Port Stephens,35-44,8566.0,8369.0,1.0
Port Stephens,45-54,8967.0,9232.0,0.9713
Port Stephens,55-64,10362.0,10710.0,0.9675
Port Stephens,65-74,11137.0,11202.0,0.9942
Port Stephens,75-84,7398.0,7812.0,0.947
Port Stephens,85-120,1400.0,2314.0,0.605
ALL,0-4,0.0,37231.0,0.0
ALL,5-11,0.0,54543.6,0.0
ALL,12-17,3919.0,47626.0,0.0823
ALL,18-24,45776.0,58478.4,0.7828
ALL,25-34,82501.0,87753.0,0.9402
ALL,35-44,85129.0,82772.0,1.0
ALL,45-54,74342.0,75968.0,0.9786
ALL,55-64,72483.0,74574.0,0.972
ALL,65-74,66168.0,67258.0,0.9838
ALL,75-84,39759.0,43347.0,0.9172
ALL,85-120,7978.0,15589.0,0.5118
